,amount,exchange,group,group_num,name,unit,volume
0,4.6756086e-05,elementary,output,4,"PAH, polycyclic aromatic hydrocarbons",kg,515332.429064
0,4.21226e-06,elementary,output,4,Arsenic,kg,515332.429064
0,2.527356e-05,elementary,output,4,Nickel,kg,515332.429064
0,0.39539891,elementary,output,4,"NMVOC, non-methane volatile organic compounds, unspecified origin",kg,515332.429064
0,0.0001263678,elementary,output,4,"Benzene, ethyl-",kg,515332.429064
0,1.66805496e-05,elementary,output,4,Chromium,kg,515332.429064
0,0.5054712,elementary,output,4,Nitrogen oxides,kg,515332.429064
0,0.0007582068,elementary,output,4,Chlorine,kg,515332.429064
0,0.0072872098,elementary,output,4,Ammonia,kg,515332.429064
0,0.005475938,elementary,output,4,Sodium,kg,515332.429064
0,0.0015164136,elementary,output,4,Magnesium,kg,515332.429064
0,0.0002527356,elementary,output,4,Bromine,kg,515332.429064
0,0.01053065,elementary,output,4,"Particulates, < 2.5 um",kg,515332.429064
0,1.263678e-10,elementary,output,4,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",kg,515332.429064
0,0.0038331566,elementary,output,4,"Hydrocarbons, aliphatic, alkanes, unspecified",kg,515332.429064
0,0.01053065,elementary,output,4,Sulfur dioxide,kg,515332.429064
0,2.10613e-06,elementary,output,4,Benzo(a)pyrene,kg,515332.429064
0,0.000210613,elementary,output,4,Fluorine,kg,515332.429064
0,3.0328272e-11,elementary,output,4,"Benzene, hexachloro-",kg,515332.429064
0,0.009688198,elementary,output,4,Dinitrogen monoxide,kg,515332.429064
0,0.1385475938,elementary,output,4,Formaldehyde,kg,515332.429064
0,0.0001053065,elementary,output,4,Lead,kg,515332.429064
0,429.65052,elementary,output,4,"Carbon dioxide, non-fossil",kg,515332.429064
0,0.0005054712,elementary,output,4,m-Xylene,kg,515332.429064
0,1.263678e-06,elementary,output,4,Mercury,kg,515332.429064
0,0.001263678,elementary,output,4,Phosphorus,kg,515332.429064
0,0.098566884,elementary,output,4,Potassium,kg,515332.429064
0,0.842452,elementary,output,4,"Carbon monoxide, non-fossil",kg,515332.429064
0,0.00060094786,elementary,output,4,Acetaldehyde,kg,515332.429064
0,9.266972e-05,elementary,output,4,Copper,kg,515332.429064
0,0.024641721,elementary,output,4,Calcium,kg,515332.429064
0,0.001263678,elementary,output,4,Toluene,kg,515332.429064
0,0.0007160842,elementary,output,4,Manganese,kg,515332.429064
0,2.948582e-06,elementary,output,4,Cadmium,kg,515332.429064
0,0.001263678,elementary,output,4,Zinc,kg,515332.429064
0,0.323,elementary,input,4,"Water, river",m3,515332.429064
0,0.000281,elementary,input,4,"Water, well, in ground",m3,515332.429064
0,0.0802,elementary,output,4,"Particulates, > 10 um",kg,515332.429064
0,0.287,elementary,input,4,"Water, cooling, unspecified natural origin",m3,515332.429064
0,0.018,elementary,output,4,Methanol,kg,515332.429064
0,4212.26,elementary,output,4,Methanol,kg,515332.429064
